48 600
0 1 1
24 25 13
0 2 1
24 26 13
0 3 1
24 27 13
4 5 1
28 29 13
4 6 1
28 30 13
4 7 1
28 31 13
8 9 1
32 33 13
8 10 1
32 34 13
8 11 1
32 35 13
12 13 1
36 37 13
12 14 1
36 38 13
12 15 1
36 39 13
0 24 13
0 25 13
0 26 13
0 27 13
0 28 13
0 29 13
0 30 13
0 31 13
0 32 13
0 33 13
0 34 13
0 35 13
0 36 13
0 37 13
0 38 13
0 39 13
0 40 13
0 41 13
0 42 13
0 43 13
0 44 13
0 45 13
0 46 13
0 47 13
1 24 13
1 25 13
1 26 13
1 27 13
1 28 13
1 29 13
1 30 13
1 31 13
1 32 13
1 33 13
1 34 13
1 35 13
1 36 13
1 37 13
1 38 13
1 39 13
1 40 13
1 41 13
1 42 13
1 43 13
1 44 13
1 45 13
1 46 13
1 47 13
2 24 13
2 25 13
2 26 13
2 27 13
2 28 13
2 29 13
2 30 13
2 31 13
2 32 13
2 33 13
2 34 13
2 35 13
2 36 13
2 37 13
2 38 13
2 39 13
2 40 13
2 41 13
2 42 13
2 43 13
2 44 13
2 45 13
2 46 13
2 47 13
3 24 13
3 25 13
3 26 13
3 27 13
3 28 13
3 29 13
3 30 13
3 31 13
3 32 13
3 33 13
3 34 13
3 35 13
3 36 13
3 37 13
3 38 13
3 39 13
3 40 13
3 41 13
3 42 13
3 43 13
3 44 13
3 45 13
3 46 13
3 47 13
4 24 13
4 25 13
4 26 13
4 27 13
4 28 13
4 29 13
4 30 13
4 31 13
4 32 13
4 33 13
4 34 13
4 35 13
4 36 13
4 37 13
4 38 13
4 39 13
4 40 13
4 41 13
4 42 13
4 43 13
4 44 13
4 45 13
4 46 13
4 47 13
5 24 13
5 25 13
5 26 13
5 27 13
5 28 13
5 29 13
5 30 13
5 31 13
5 32 13
5 33 13
5 34 13
5 35 13
5 36 13
5 37 13
5 38 13
5 39 13
5 40 13
5 41 13
5 42 13
5 43 13
5 44 13
5 45 13
5 46 13
5 47 13
6 24 13
6 25 13
6 26 13
6 27 13
6 28 13
6 29 13
6 30 13
6 31 13
6 32 13
6 33 13
6 34 13
6 35 13
6 36 13
6 37 13
6 38 13
6 39 13
6 40 13
6 41 13
6 42 13
6 43 13
6 44 13
6 45 13
6 46 13
6 47 13
7 24 13
7 25 13
7 26 13
7 27 13
7 28 13
7 29 13
7 30 13
7 31 13
7 32 13
7 33 13
7 34 13
7 35 13
7 36 13
7 37 13
7 38 13
7 39 13
7 40 13
7 41 13
7 42 13
7 43 13
7 44 13
7 45 13
7 46 13
7 47 13
8 24 13
8 25 13
8 26 13
8 27 13
8 28 13
8 29 13
8 30 13
8 31 13
8 32 13
8 33 13
8 34 13
8 35 13
8 36 13
8 37 13
8 38 13
8 39 13
8 40 13
8 41 13
8 42 13
8 43 13
8 44 13
8 45 13
8 46 13
8 47 13
9 24 13
9 25 13
9 26 13
9 27 13
9 28 13
9 29 13
9 30 13
9 31 13
9 32 13
9 33 13
9 34 13
9 35 13
9 36 13
9 37 13
9 38 13
9 39 13
9 40 13
9 41 13
9 42 13
9 43 13
9 44 13
9 45 13
9 46 13
9 47 13
10 24 13
10 25 13
10 26 13
10 27 13
10 28 13
10 29 13
10 30 13
10 31 13
10 32 13
10 33 13
10 34 13
10 35 13
10 36 13
10 37 13
10 38 13
10 39 13
10 40 13
10 41 13
10 42 13
10 43 13
10 44 13
10 45 13
10 46 13
10 47 13
11 24 13
11 25 13
11 26 13
11 27 13
11 28 13
11 29 13
11 30 13
11 31 13
11 32 13
11 33 13
11 34 13
11 35 13
11 36 13
11 37 13
11 38 13
11 39 13
11 40 13
11 41 13
11 42 13
11 43 13
11 44 13
11 45 13
11 46 13
11 47 13
12 24 13
12 25 13
12 26 13
12 27 13
12 28 13
12 29 13
12 30 13
12 31 13
12 32 13
12 33 13
12 34 13
12 35 13
12 36 13
12 37 13
12 38 13
12 39 13
12 40 13
12 41 13
12 42 13
12 43 13
12 44 13
12 45 13
12 46 13
12 47 13
13 24 13
13 25 13
13 26 13
13 27 13
13 28 13
13 29 13
13 30 13
13 31 13
13 32 13
13 33 13
13 34 13
13 35 13
13 36 13
13 37 13
13 38 13
13 39 13
13 40 13
13 41 13
13 42 13
13 43 13
13 44 13
13 45 13
13 46 13
13 47 13
14 24 13
14 25 13
14 26 13
14 27 13
14 28 13
14 29 13
14 30 13
14 31 13
14 32 13
14 33 13
14 34 13
14 35 13
14 36 13
14 37 13
14 38 13
14 39 13
14 40 13
14 41 13
14 42 13
14 43 13
14 44 13
14 45 13
14 46 13
14 47 13
15 24 13
15 25 13
15 26 13
15 27 13
15 28 13
15 29 13
15 30 13
15 31 13
15 32 13
15 33 13
15 34 13
15 35 13
15 36 13
15 37 13
15 38 13
15 39 13
15 40 13
15 41 13
15 42 13
15 43 13
15 44 13
15 45 13
15 46 13
15 47 13
16 24 13
16 25 13
16 26 13
16 27 13
16 28 13
16 29 13
16 30 13
16 31 13
16 32 13
16 33 13
16 34 13
16 35 13
16 36 13
16 37 13
16 38 13
16 39 13
16 40 13
16 41 13
16 42 13
16 43 13
16 44 13
16 45 13
16 46 13
16 47 13
17 24 13
17 25 13
17 26 13
17 27 13
17 28 13
17 29 13
17 30 13
17 31 13
17 32 13
17 33 13
17 34 13
17 35 13
17 36 13
17 37 13
17 38 13
17 39 13
17 40 13
17 41 13
17 42 13
17 43 13
17 44 13
17 45 13
17 46 13
17 47 13
18 24 13
18 25 13
18 26 13
18 27 13
18 28 13
18 29 13
18 30 13
18 31 13
18 32 13
18 33 13
18 34 13
18 35 13
18 36 13
18 37 13
18 38 13
18 39 13
18 40 13
18 41 13
18 42 13
18 43 13
18 44 13
18 45 13
18 46 13
18 47 13
19 24 13
19 25 13
19 26 13
19 27 13
19 28 13
19 29 13
19 30 13
19 31 13
19 32 13
19 33 13
19 34 13
19 35 13
19 36 13
19 37 13
19 38 13
19 39 13
19 40 13
19 41 13
19 42 13
19 43 13
19 44 13
19 45 13
19 46 13
19 47 13
20 24 13
20 25 13
20 26 13
20 27 13
20 28 13
20 29 13
20 30 13
20 31 13
20 32 13
20 33 13
20 34 13
20 35 13
20 36 13
20 37 13
20 38 13
20 39 13
20 40 13
20 41 13
20 42 13
20 43 13
20 44 13
20 45 13
20 46 13
20 47 13
21 24 13
21 25 13
21 26 13
21 27 13
21 28 13
21 29 13
21 30 13
21 31 13
21 32 13
21 33 13
21 34 13
21 35 13
21 36 13
21 37 13
21 38 13
21 39 13
21 40 13
21 41 13
21 42 13
21 43 13
21 44 13
21 45 13
21 46 13
21 47 13
22 24 13
22 25 13
22 26 13
22 27 13
22 28 13
22 29 13
22 30 13
22 31 13
22 32 13
22 33 13
22 34 13
22 35 13
22 36 13
22 37 13
22 38 13
22 39 13
22 40 13
22 41 13
22 42 13
22 43 13
22 44 13
22 45 13
22 46 13
22 47 13
23 24 13
23 25 13
23 26 13
23 27 13
23 28 13
23 29 13
23 30 13
23 31 13
23 32 13
23 33 13
23 34 13
23 35 13
23 36 13
23 37 13
23 38 13
23 39 13
23 40 13
23 41 13
23 42 13
23 43 13
23 44 13
23 45 13
23 46 13
23 47 13
